"Name","Calls","TotalDurationNs","AverageNs","Percentage"
hipMemcpy,23,340309455,14796063,95.46098114578226
hipStreamCreate,1,6507998,6507998,1.8255733575630115
hipMemcpyAsync,1,5491208,5491208,1.540351276327508
hipDeviceSynchronize,16,1653733,103358,0.46389241442956064
hipHostMalloc,2,1428276,714138,0.4006489573055597
hipMalloc,9,270507,30056,0.07588053534040692
hipStreamSynchronize,6,230278,38379,0.06459580682613843
hipHostFree,2,182879,91439,0.05129980526388699
hipMemset,4,182220,45555,0.0511149476713318
hipMemcpyToSymbol,2,72090,36045,0.0202221302690501
hipLaunchKernel,8,67509,8438,0.018937103514125444
hipFree,7,66189,9455,0.018566827304454945
hipGetDeviceProperties,4,9820,2455,0.002754630590124455
__hipPushCallConfiguration,8,8140,1017,0.002283369959634732
__hipPopCallConfiguration,8,5090,636,0.001427807505471841
hipGetDeviceCount,1,3760,3760,0.0010547261730008098
hipSetDevice,2,1480,740,0.0004151581744790421
